soil_pH,soil_N,soil_P,rainfall_mm,temp_avg,fertilizer_kg_per_ha,irrigation_mm,pesticide_ml,input_cost_total,environmental_score,yield_kg_per_ha,date,month,day_of_year,crop_type
7.11,21.67969157,32.88062409,841.4943812,18.85859326,,103.4359377,63.01420119,96.17662664,105.2344159,3568.177011,2023-08-26,8,238,Wheat
6.63,163.1809929,14.18241988,295.8535711,29.22836092,37.64643995,262.3361533,295.0791899,159.8142076,130.796629,3251.764881,2023-01-10,1,10,Rice
5.06,124.3970817,37.48508087,706.9708484,20.4754024,15.7253422,160.2816122,246.5404378,113.8811249,82.17373275,3611.728269,2023-03-16,3,75,Wheat
7.63,50.24255739,54.83610512,426.6158938,25.49786406,13.05535151,2.932363944,162.6899927,55.92114635,24.98191936,2820.6835,2024-01-10,1,10,Barley
6.53,186.995411,43.2744515,503.8146809,15.49294372,66.48533843,452.9558356,184.020554,179.0400025,194.1800091,3696.009823,2024-08-02,8,215,Rice
6.09,56.72641423,41.00578778,499.9205327,16.81607632,38.46315456,191.7836955,132.4602031,97.32637731,93.8590217,2979.560718,2025-07-01,7,182,Barley
8.45,63.82681338,42.82471233,99.72442233,15.92588605,22.79317742,490.3805872,236.0927398,180.3005281,184.3993566,2892.209123,2024-09-19,9,263,Rice
7.02,194.494218,55.41493797,,23.47731699,52.16984919,13.92052563,296.1300258,117.7080375,65.09106978,2974.191734,2025-02-14,2,45,Maize
5.86,193.3385607,21.79208722,277.3023044,28.05407442,77.59455088,296.7482079,70.08742909,119.1731458,142.5899358,2973.087494,2023-06-30,6,181,Wheat
5.72,81.17749348,11.27526817,352.4132493,31.54559865,123.4388454,356.8301416,79.49011847,156.9324866,189.0613616,3361.032246,2025-09-22,9,265,Wheat
4.63,30.41168178,55.32995376,,32.62750652,89.81570283,176.2646207,2.749665055,80.98567506,107.0437744,2613.128322,2024-06-12,6,164,Rice
8.06,131.2680322,18.99153695,365.9058791,15.2532163,197.6248152,413.4339236,855.4687617,232.827318,259.7144414,3741.177508,2024-10-24,10,298,Rice
6.04,106.6740233,55.02947507,130.7762495,13.24073527,193.341228,86.98869976,274.3021328,196.3589938,169.53156,3209.369594,2024-12-11,12,346,Maize
7.22,168.6921734,32.52206301,350.9896499,25.04629472,147.0457036,448.1283582,60.04626337,181.1624025,228.670556,3828.077061,2024-05-16,5,137,Wheat
8.28,150.6763838,24.41777154,99.07569775,28.28767841,117.6862481,478.9896766,2.535448819,155.401694,214.5621967,3083.851562,2025-01-16,1,16,Rice
6.24,149.9727689,41.46759555,326.6087082,30.32978302,16.84260224,86.37865914,73.4399619,47.72902152,43.36315527,3391.074222,2025-02-11,2,42,Wheat
7.1,197.5992668,32.84463327,389.566262,26.76168819,66.5458953,182.2832138,28.36690343,78.23966143,97.44919165,3154.766511,2025-05-30,5,150,Wheat
6.05,39.25651499,40.35850505,667.1834283,28.24947642,17.34131352,85.40685315,231.1313408,95.09142964,59.13997814,3318.420992,2025-09-18,9,261,Rice
8.09,53.84445223,20.53598345,633.0508009,17.95954471,67.0813627,1.828155672,147.1363226,78.04720925,55.51089658,3149.535587,2024-11-28,11,333,Wheat
6.99,175.303474,31.20403425,742.6157917,35.16080842,129.2619867,440.6290339,223.8941438,219.9250433,232.1353166,4045.029388,2024-04-18,4,109,Wheat
5.23,138.683706,51.95817069,610.6864903,20.34789565,3.382559984,364.6201245,1417.12512,159.6428121,139.7580758,3439.081614,2023-10-07,10,280,Rice
5.84,53.49825521,29.07137305,632.6544778,31.54567646,129.0300167,97.06438522,60.10194633,101.9584693,112.5475202,4088.428991,2025-09-05,9,248,Rice
6.79,30.2756341,6.514519593,302.298779,24.83639034,10.33147142,198.0272387,247.5404627,119.0333223,90.36110074,2749.508708,2023-10-28,10,301,Maize
4.95,37.71121695,44.50821465,236.9356805,29.19290691,83.23218928,158.234392,6.272853701,75.14482916,98.03691655,2674.427261,2025-07-17,7,198,Maize
7.51,188.0975032,26.3392718,60.06701225,15.54164511,64.14671646,252.5577779,1071.178711,146.8556365,135.6789375,3195.492457,2023-01-16,1,16,Barley
7.3,25.39524618,26.42150422,322.4613302,17.61201626,147.9162354,281.0723769,269.023965,210.8797826,199.9738508,3284.926888,2023-03-06,3,65,Rice
6.87,,19.10915343,520.0354041,26.75901895,145.2169703,359.9984013,115.0443368,179.1214664,206.6341362,3925.891974,2024-01-18,1,18,Barley
4.58,59.81769953,6.84874801,,20.69345408,,401.8467259,75.14488402,119.4627879,147.9284791,2777.678345,2024-04-07,4,98,Wheat
5.12,165.1810066,19.95723494,600.2221882,14.98498939,173.929937,78.60194178,525.9640372,134.2431991,138.4578255,3769.821168,2023-08-03,8,215,Wheat
8.13,156.8521682,49.61180735,481.6843815,19.83621789,197.1201468,496.4160658,90.79210219,225.0809172,276.276118,4011.447035,2025-07-22,7,203,Rice
6.39,61.70090625,25.92310041,227.1710774,12.89993642,23.84208857,10.57491167,25.73828547,21.75751226,20.05155519,2694.515831,2025-09-13,9,256,Barley
4.66,137.0586235,26.11113857,574.9844589,13.09130817,188.9414763,372.3753658,70.21733251,190.0110111,232.0992288,3828.14384,2024-12-25,12,360,Rice
7.76,23.21730825,53.2806543,239.7673776,32.0630024,,230.3363958,22.32852553,61.30613984,81.58213492,2784.390748,2024-05-16,5,137,Barley
7.28,135.8439851,12.23190159,513.1790019,15.54307046,90.56496106,466.7065635,296.8048542,227.6652495,224.0314311,4079.261228,2025-02-08,2,39,Wheat
6.14,114.752479,20.1102339,,26.44132128,55.73886319,361.7672867,11.78758355,103.759164,143.1522623,2932.994661,2023-01-16,1,16,Wheat
4.75,178.2412954,55.00711132,611.3101098,26.94156534,47.96399044,129.1134066,145.2553495,93.3812814,82.0379512,3736.746351,2025-07-17,7,198,Maize
7.71,39.88534036,19.22414592,725.5107586,31.5830311,67.26467885,167.0227742,149.269825,111.8178418,105.3926221,3458.462183,2023-09-12,9,255,Barley
7.77,,52.91624652,449.8201826,14.56651724,,394.0175748,177.7704548,199.7963748,217.1763859,3567.242439,2023-08-06,8,218,Rice
5.22,41.8492891,48.07591273,784.2002532,21.09465414,84.58870875,37.76354301,279.2498593,133.6220208,90.00727408,3488.530704,2024-06-08,6,160,Barley
7.42,63.05241876,6.297723056,232.7339684,30.41382802,28.77359327,145.5982275,295.65724,132.2036141,90.50934821,2396.843941,2024-11-18,11,323,Wheat
7.53,149.4563201,8.273858519,569.577231,14.64359316,63.29142617,358.5907235,258.487485,180.9101033,171.4008213,3469.838905,2023-01-25,1,25,Wheat
8.3,40.14553149,12.73041322,141.0564689,12.08374887,54.69490307,176.1154875,134.0066165,102.772534,99.05224976,2671.770784,2023-01-30,1,30,Rice
8.27,142.9865775,44.56444923,340.1974125,23.86922765,192.7370377,9.014504479,145.9327161,141.9512346,132.9398456,3279.628108,2024-08-15,8,228,Wheat
7.43,177.1302505,54.84400193,225.3275292,35.2032186,170.9094786,436.1972817,249.3737415,247.5063181,258.3422458,3228.73462,2024-04-30,4,121,Barley
5.19,88.51219283,40.46579322,216.2349897,27.25965681,170.1705515,172.8135185,230.9316922,188.9274871,177.0395557,3717.881572,2025-04-09,4,99,Rice
8.08,,57.01339809,401.2231654,23.12381385,16.99325798,197.0952473,145.139069,91.45739914,83.83843587,2954.519177,2023-08-21,8,233,Maize
5.41,122.1161995,51.52567918,152.8453465,24.27989357,173.5999184,483.6640557,177.2748278,236.7152187,266.9866505,3842.470903,2024-05-07,5,128,Wheat
5.75,61.93270546,8.721759905,495.9100458,18.60569335,97.9571736,52.89826014,218.8564266,125.2151668,96.52942486,2931.915165,2024-07-03,7,185,Wheat
7.52,147.219899,40.02962746,603.6916792,22.53888828,173.4120365,428.4750649,74.97051649,194.8921862,240.086793,3851.572922,2024-06-26,6,178,Barley
6.35,168.9568212,25.11244115,683.0518425,26.37436227,178.1947769,85.54298343,181.1265432,160.5439481,150.6924155,4407.622936,2023-03-07,3,66,Wheat
4.6,151.9042781,47.92010267,79.3406517,17.99795186,83.12555641,427.9625948,160.6565748,175.3522696,194.3297698,3206.254978,2024-01-26,1,26,Rice
6.88,,43.08928373,210.5560439,29.23329769,166.8649591,112.8322915,110.8147943,139.2433762,145.0501424,2972.452798,2025-02-19,2,50,Barley
5.98,121.2134269,28.85995808,202.7452742,14.93390228,164.1015008,242.5364546,47.17069953,144.7092512,175.9389068,2986.574664,2023-03-06,3,65,Maize
4.9,150.7631087,49.59832196,490.8744581,12.50697209,160.16362,74.69969423,94.98073045,123.515968,128.0061533,3925.31415,2024-10-25,10,299,Barley
5.13,,28.20054982,613.1462497,20.1084565,28.56286089,323.8600272,132.8207783,118.8996694,127.5778025,2727.96312,2023-12-24,12,358,Rice
7.74,,26.14812302,206.9851437,31.09131858,25.81424939,464.186276,289.1748036,192.496821,183.6619128,2684.374676,2023-08-02,8,214,Rice
6.11,58.16807118,57.5313364,486.7989399,23.29181278,142.0703001,356.5071459,134.8796718,182.8004808,205.682291,3483.383086,2023-10-31,10,304,Maize
5.19,141.7642287,44.01264557,265.0514919,21.78096801,77.87795593,473.8118293,78.75258128,157.3271182,196.7455805,3147.486354,2024-03-23,3,83,Rice
7.68,164.2766801,20.97774781,183.4268832,29.3207135,76.56667895,224.7916765,224.5125748,150.5954472,135.8287678,3135.143642,2023-10-07,10,280,Barley
4.77,71.46322206,41.11470905,342.3668971,31.62515155,32.50221306,113.3793087,90.96586402,66.21672747,62.61170685,2747.707213,2024-01-20,1,20,Wheat
6.48,46.70177617,30.21876549,77.25661168,26.57312568,82.2226834,131.1371609,124.7324403,104.758506,101.1480023,2897.191625,2025-03-26,3,85,Wheat
4.71,97.33822629,5.62798909,584.9079939,16.11960072,29.98185065,413.9624773,227.2407152,165.9556353,164.9019251,3281.04978,2023-07-15,7,196,Barley
6.88,31.04293288,33.48782902,551.2349813,21.16057233,193.665392,116.0392889,110.0256229,153.0482407,162.0135842,3910.918757,2024-09-24,9,268,Wheat
7.1,137.2219359,53.41731192,,22.39223352,48.33178416,343.045577,110.1833104,125.8300006,142.9310746,3246.602588,2025-02-26,2,57,Barley
6.86,96.27288566,21.24097717,557.5042534,29.94771435,4.928880927,178.0969717,268.2298608,118.5527931,83.20940616,3055.128026,2023-09-11,9,254,Barley
6.56,125.5895234,27.2806482,419.7128477,22.00116518,195.1203838,281.0554413,110.1508877,186.8165465,212.4039515,3362.28617,2023-08-03,8,215,Wheat
6.47,127.0057403,32.66961729,302.9826453,35.63781826,165.2780623,369.7816241,0.385327658,156.7109543,210.1398574,3603.309617,2023-05-26,5,146,Maize
7.99,,22.39485824,457.1735101,16.97079642,84.26017633,50.92363257,73.58379149,74.38995213,73.19157472,2886.025925,2023-07-12,7,193,Maize
6.21,,41.73559993,,33.52722136,,393.3615074,144.5984753,183.0881449,205.7118607,3927.426066,2023-04-01,4,91,Barley
8.29,126.7479802,51.66339585,292.0642689,19.4416451,133.2814609,455.4171135,36.37946801,168.6379936,220.2319574,3065.270518,2024-09-13,9,257,Maize
6.72,,38.08546336,828.5752528,20.67388663,46.86501313,433.5760755,192.3018172,167.8382668,177.4220122,3387.526515,2023-08-03,8,215,Rice
6.98,192.723796,30.84935475,179.2427201,12.19821391,126.127059,418.4317111,78.61050135,170.3330221,209.0667989,3810.583808,2023-12-10,12,344,Wheat
6.83,26.35604389,27.91112057,225.8184873,18.15358179,75.1642438,321.6848625,240.9399267,174.2010724,165.6979977,2819.853481,2023-11-03,11,307,Wheat
5.05,99.23581963,33.26199553,513.2030779,24.46420746,67.70137589,68.25150604,187.4831311,103.7459285,79.84459046,3021.00091,2024-01-22,1,22,Wheat
7.79,146.8425373,23.72129073,,27.64851624,168.3244015,57.37097917,68.26016308,116.1144455,125.031951,3675.984297,2023-12-04,12,338,Rice
7.5,,43.80722245,77.28552446,21.9601537,114.2398368,139.8834654,85.87771061,110.8599247,119.0967128,3318.838155,2023-04-30,4,120,Rice
7.38,65.84071197,29.50479013,509.9213488,16.82330429,164.6007149,494.6399726,269.1895487,261.9852166,274.0713756,3754.510867,2023-03-17,3,76,Barley
5.96,164.0641714,20.18932568,249.9952974,15.65626777,178.1664297,268.4295733,187.4386196,199.0007154,206.1725917,3469.913965,2025-01-17,1,17,Rice
7.72,120.4010151,51.34915462,757.148471,26.04932635,110.1141269,250.849583,291.3659736,192.6367721,170.4599484,3829.347682,2025-06-15,6,166,Rice
4.61,182.1263355,54.6349319,537.3093016,16.40975279,33.83237877,270.2763377,295.4787325,159.6150767,130.9302018,3528.3401,2025-02-02,2,33,Wheat
5.9,176.8766251,29.58805491,403.9439074,23.7327988,159.599607,77.92576828,162.528096,144.143386,135.3903043,4080.614367,2025-04-20,4,110,Barley
8.23,191.9942653,29.65754805,,13.82843984,173.5404196,422.7554054,6.770574961,173.3524634,231.6279309,4146.180583,2023-01-29,1,29,Rice
4.95,81.53698989,16.6954407,252.4312124,25.45014525,165.9131663,105.058888,122.8682782,140.8288442,143.352394,3284.77753,2023-09-03,9,246,Maize
5.39,109.2576323,5.693413599,776.0886635,24.35782759,102.9484388,378.1550485,138.2606206,168.5834152,189.0416399,3476.474859,2025-06-17,6,168,Rice
7.46,38.18824598,30.18976675,330.0131504,28.37390287,28.27671084,213.8345429,224.4716419,124.2467566,103.5635536,2645.71391,2025-06-17,6,168,Maize
7.61,109.4914575,19.86362307,368.3350398,20.40022009,57.94559675,420.5480853,160.9231149,161.3593499,177.0240951,3125.759658,2023-12-09,12,343,Rice
4.85,26.50886849,16.48854982,588.6142259,13.07269583,148.3368258,44.38663348,21.66880448,89.54638094,104.484966,3327.460599,2023-01-27,1,27,Rice
7.87,31.21252366,21.66036509,850.0413935,20.00454076,128.6857899,44.82611562,41.91617009,85.8829691,94.85092564,3499.243044,2023-06-12,6,163,Maize
8.1,82.25895025,41.89027715,866.9705119,29.99917984,153.0632599,391.3728371,151.4798412,200.2501497,224.3977912,3791.781534,2023-06-05,6,156,Barley
4.84,45.13722586,57.8624517,695.1779,13.45469896,119.2285299,387.3263099,6.914126522,139.1537649,188.4264236,3655.365233,2024-07-16,7,198,Maize
6.26,86.19668316,57.95225926,577.7076579,19.49649849,7.801284153,119.0624216,199.5818509,87.58768166,60.35768207,3382.227215,2023-11-18,11,322,Barley
5.59,197.1350245,33.18764568,114.4468903,16.20637113,184.5290279,166.6499299,156.0691467,172.415244,176.3193104,3704.757615,2023-09-12,9,255,Wheat
7.16,114.8674635,8.18144472,362.7001691,26.48058378,131.1641535,466.7275526,0.236853328,158.9986433,218.7404432,3801.705642,2023-11-20,11,324,Barley
6.01,190.0305595,8.170617021,615.2107533,26.68385428,108.9602171,31.80071819,195.2483851,119.4147677,94.4411842,3953.256408,2023-06-12,6,163,Rice
5.67,186.3913152,56.52523541,679.8107183,33.44767687,190.6240229,428.076811,287.8776443,267.2906669,271.5852215,4083.492022,2024-06-09,6,161,Maize
4.97,176.225293,53.86220198,460.8555546,35.95028091,143.1969387,295.4022668,199.7353204,190.5995188,194.5123753,3679.432939,2023-04-17,4,107,Barley
7.79,91.00573014,42.3791183,131.6081522,18.91159172,182.4416474,164.1275446,215.7068461,188.7583864,180.2739364,3077.781482,2024-01-04,1,4,Maize
5.87,86.22933523,17.43689322,265.927797,16.11588754,155.5969943,400.9569764,238.8205576,229.6360597,237.5273453,3578.005885,2025-03-03,3,62,Maize
5.39,121.7039587,15.23747438,211.9664455,28.47995304,97.58003906,132.7937992,13.43051661,79.37793434,99.72921484,3069.045439,2024-01-30,1,30,Wheat
5.19,176.289051,9.409900775,492.673927,28.40975169,18.26514687,325.4858726,208.1590027,136.6774488,129.4207502,3211.138626,2024-03-19,3,79,Wheat
